категория,тип_запроса,конкурент,домен,тип_источника,n_запросов,n_hits
baby care,сравнительный,Huggies,otzovik.com,форум,1,1
baby care,сравнительный,Huggies,pikabu.ru,форум,1,1
baby care,сравнительный,Huggies,t-j.ru,обзор,1,1
baby care,сравнительный,Huggies,tekhnik.top,обзор,1,1
baby care,сравнительный,Huggies,tenchat.ru,обзор,1,1
baby care,сравнительный,Huggies,vk.com,обзор,1,1
baby care,сравнительный,Huggies,www.huggies.uz,сайт бренда,1,1
baby care,сравнительный,Huggies,www.rbc.ru,обзор,1,1
baby care,сравнительный,JOONIES,tekhnik.top,обзор,1,1
baby care,сравнительный,JOONIES,tenchat.ru,обзор,1,1
baby care,сравнительный,JOONIES,vc.ru,обзор,1,1
baby care,сравнительный,Joonies,deti.mail.ru,обзор,4,5
baby care,сравнительный,Joonies,t-j.ru,обзор,4,4
baby care,сравнительный,Joonies,dtf.ru,обзор,2,2
baby care,сравнительный,Joonies,market.yandex.ru,маркетплейс,2,2
baby care,сравнительный,Joonies,pikabu.ru,форум,2,2
baby care,сравнительный,Joonies,huggies.ru,сайт бренда,1,1
baby care,сравнительный,Joonies,megapteka.ru,перекуп,1,1
baby care,сравнительный,Joonies,pikabu.ru,обзор,1,1
baby care,сравнительный,Joonies,vc.ru,обзор,1,1
baby care,сравнительный,Joonies,www.rbc.ru,обзор,1,1
baby care,сравнительный,Junion Care,deti.mail.ru,обзор,1,1
baby care,сравнительный,Junion Care,pikabu.ru,форум,1,1
baby care,сравнительный,Junion Care,t-j.ru,обзор,1,1
baby care,сравнительный,Kiddy,bestproducts.mail.ru,обзор,1,1
baby care,сравнительный,Kiddy,deti.mail.ru,обзор,1,1
baby care,сравнительный,Kiddy,vc.ru,обзор,1,1
baby care,сравнительный,Lovular,deti.mail.ru,обзор,7,7
baby care,сравнительный,Lovular,bestproducts.mail.ru,обзор,4,4
baby care,сравнительный,Lovular,vc.ru,обзор,3,3
baby care,сравнительный,Lovular,pikabu.ru,обзор,2,2
baby care,сравнительный,Lovular,baby.ru,обзор,1,1
baby care,сравнительный,Lovular,babyblog.ru,обзор,1,1
baby care,сравнительный,Lovular,babyblog.ru,форум,1,1
baby care,сравнительный,Lovular,markakachestva.ru,обзор,1,1
baby care,сравнительный,Lovular,ozon.ru,маркетплейс,1,1
baby care,сравнительный,Lovular,vk.com,обзор,1,1
baby care,сравнительный,Mepsi,deti.mail.ru,обзор,2,2
baby care,сравнительный,Mepsi,bestproducts.mail.ru,обзор,1,1
baby care,сравнительный,Mepsi,pikabu.ru,форум,1,1
baby care,сравнительный,Mepsi,t-j.ru,обзор,1,1
baby care,сравнительный,Mepsi,vc.ru,обзор,1,1
baby care,сравнительный,Merries,deti.mail.ru,обзор,5,5
baby care,сравнительный,Merries,vc.ru,обзор,4,4
baby care,сравнительный,Merries,dtf.ru,обзор,2,2
baby care,сравнительный,Merries,pikabu.ru,обзор,2,2
baby care,сравнительный,Merries,t-j.ru,обзор,2,2
baby care,сравнительный,Merries,babyblog.ru,форум,1,1
baby care,сравнительный,Merries,bestproducts.mail.ru,обзор,1,1
baby care,сравнительный,Merries,market.yandex.ru,маркетплейс,1,1
baby care,сравнительный,Merries,megapteka.ru,перекуп,1,1
baby care,сравнительный,Merries,tekhnik.top,обзор,1,1
baby care,сравнительный,Merries,tenchat.ru,обзор,1,1
baby care,сравнительный,Merries,vk.com,обзор,1,1
baby care,сравнительный,Merries,www.rbc.ru,обзор,1,1
baby care,сравнительный,Momi,deti.mail.ru,обзор,6,6
baby care,сравнительный,Momi,bestproducts.mail.ru,обзор,3,3
baby care,сравнительный,Momi,vc.ru,обзор,3,3
baby care,сравнительный,Momi,babyblog.ru,форум,1,1
baby care,сравнительный,Momi,dtf.ru,обзор,1,1
baby care,сравнительный,Momi,pikabu.ru,обзор,1,1
baby care,сравнительный,Momi,pikabu.ru,форум,1,1
baby care,сравнительный,Momi,vk.com,обзор,1,1
baby care,сравнительный,Moony,deti.mail.ru,обзор,1,1
baby care,сравнительный,Moony,pikabu.ru,форум,1,1
baby care,сравнительный,Moony,t-j.ru,обзор,1,1
baby care,сравнительный,Natura Siberica,deti.mail.ru,обзор,2,2
baby care,сравнительный,Natura Siberica,www.huggies.uz,сайт бренда,2,2
baby care,сравнительный,Natura Siberica,megapteka.ru,перекуп,1,1
baby care,сравнительный,SYNERGETIC,deti.mail.ru,обзор,1,1
baby care,сравнительный,SYNERGETIC,www.huggies.uz,сайт бренда,1,1
baby care,сравнительный,Sanosan,deti.mail.ru,обзор,1,1
baby care,сравнительный,Sanosan,www.huggies.uz,сайт бренда,1,1
baby care,сравнительный,Sanosan Baby,deti.mail.ru,обзор,1,1
baby care,сравнительный,Sanosan Baby,megapteka.ru,перекуп,1,1
baby care,сравнительный,Sanosan Baby,www.huggies.uz,сайт бренда,1,1
baby care,сравнительный,Topicrem,deti.mail.ru,обзор,1,1
baby care,сравнительный,Topicrem,www.huggies.uz,сайт бренда,1,1
baby care,сравнительный,Weleda,deti.mail.ru,обзор,2,2
baby care,сравнительный,Weleda,www.huggies.uz,сайт бренда,2,2
baby care,сравнительный,Weleda,megapteka.ru,перекуп,1,1
baby care,сравнительный,YokoSun,deti.mail.ru,обзор,3,3
baby care,сравнительный,YokoSun,vc.ru,обзор,3,3
baby care,сравнительный,YokoSun,dtf.ru,обзор,2,2
baby care,сравнительный,YokoSun,t-j.ru,обзор,2,2
baby care,сравнительный,YokoSun,market.yandex.ru,маркетплейс,1,1
baby care,сравнительный,YokoSun,megapteka.ru,перекуп,1,1
baby care,сравнительный,YokoSun,pikabu.ru,обзор,1,1
baby care,сравнительный,YokoSun,tekhnik.top,обзор,1,1
baby care,сравнительный,YokoSun,tenchat.ru,обзор,1,1
baby care,сравнительный,YokoSun,www.rbc.ru,обзор,1,1
baby care,сравнительный,Бепантен,edadeal.ru,обзор,1,1
baby care,сравнительный,Бепантен,megapteka.ru,перекуп,1,1
baby care,сравнительный,Бепантен,stolichki.ru,перекуп,1,1
baby care,сравнительный,Ла-Кри,deti.mail.ru,обзор,1,1
baby care,сравнительный,Ла-Кри,www.huggies.uz,сайт бренда,1,1
hair care,категорийный,AMBREE Professional,altaitmag.ru,перекуп,1,1
hair care,категорийный,AMBREE Professional,letu.ru,перекуп,1,1
hair care,категорийный,AMBREE Professional,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,AMBREE Professional,ozon.ru,маркетплейс,1,2
hair care,категорийный,AMBREE Professional,wildberries.ru,маркетплейс,1,1
hair care,категорийный,ARAVIA,kp.ru,обзор,2,2
hair care,категорийный,ARAVIA,lady.mail.ru,обзор,2,2
hair care,категорийный,ARAVIA,ozon.ru,маркетплейс,1,1
hair care,категорийный,ARAVIA,vc.ru,обзор,1,1
hair care,категорийный,ARAVIA Professional,goldapple.ru,перекуп,2,2
hair care,категорийный,ARAVIA Professional,ozon.ru,маркетплейс,2,2
hair care,категорийный,ARAVIA Professional,wildberries.ru,маркетплейс,2,2
hair care,категорийный,ARAVIA Professional,apteka.ru,перекуп,1,1
hair care,категорийный,ARAVIA Professional,letu.ru,перекуп,1,1
hair care,категорийный,ARAVIA Professional,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,ARAVIA Professional,poryadok.ru,перекуп,1,1
hair care,категорийный,Alerana,bestproducts.mail.ru,обзор,1,1
hair care,категорийный,Alerana,kp.ru,обзор,1,1
hair care,категорийный,Alerana,lady.mail.ru,обзор,1,1
hair care,категорийный,Alerana,ozon.ru,маркетплейс,1,1
hair care,категорийный,BAZE,altaitmag.ru,перекуп,1,1
hair care,категорийный,BAZE,letu.ru,перекуп,1,1
hair care,категорийный,BAZE,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,BAZE,ozon.ru,маркетплейс,1,2
hair care,категорийный,BAZE,wildberries.ru,маркетплейс,1,1
hair care,категорийный,BYPHASSE,lady.mail.ru,обзор,2,2
hair care,категорийный,BYPHASSE,letu.ru,обзор,2,2
hair care,категорийный,BYPHASSE,dzen.ru,обзор,1,1
hair care,категорийный,BYPHASSE,stolichki.ru,перекуп,1,1
hair care,категорийный,BYPHASSE,tekhnik.top,обзор,1,1
hair care,категорийный,BYPHASSE,vc.ru,обзор,1,1
hair care,категорийный,BYPHASSE,www.nbcnews.com,обзор,1,1
hair care,категорийный,Biofollica,biofollica.ru,сайт бренда,1,1
hair care,категорийный,Biofollica,letu.ru,перекуп,1,1
hair care,категорийный,Biofollica,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,Biofollica,ozon.ru,маркетплейс,1,1
hair care,категорийный,Biofollica,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Blonde,altaitmag.ru,перекуп,1,1
hair care,категорийный,Blonde,letu.ru,перекуп,1,1
hair care,категорийный,Blonde,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,Blonde,ozon.ru,маркетплейс,1,2
hair care,категорийный,Blonde,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Booby Blue,apteka.ru,перекуп,1,1
hair care,категорийный,Booby Blue,goldapple.ru,перекуп,1,1
hair care,категорийный,Booby Blue,ozon.ru,маркетплейс,1,1
hair care,категорийный,Booby Blue,poryadok.ru,перекуп,1,1
hair care,категорийный,Booby Blue,wildberries.ru,маркетплейс,1,1
hair care,категорийный,CHI,kp.ru,обзор,1,1
hair care,категорийный,CHI,lady.mail.ru,обзор,1,1
hair care,категорийный,CHI,ozon.ru,маркетплейс,1,1
hair care,категорийный,COLLISTAR,dzen.ru,обзор,1,1
hair care,категорийный,COLLISTAR,lady.mail.ru,обзор,1,1
hair care,категорийный,COLLISTAR,letu.ru,обзор,1,1
hair care,категорийный,COLLISTAR,stolichki.ru,перекуп,1,1
hair care,категорийный,COLLISTAR,tekhnik.top,обзор,1,1
hair care,категорийный,CONSTANT DELIGHT,altaitmag.ru,перекуп,1,1
hair care,категорийный,CONSTANT DELIGHT,letu.ru,перекуп,1,1
hair care,категорийный,CONSTANT DELIGHT,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,CONSTANT DELIGHT,ozon.ru,маркетплейс,1,2
hair care,категорийный,CONSTANT DELIGHT,wildberries.ru,маркетплейс,1,1
hair care,категорийный,COSLYS,byrdie.com,обзор,1,1
hair care,категорийный,COSLYS,kp.ru,обзор,1,1
hair care,категорийный,COSLYS,lady.mail.ru,обзор,1,1
hair care,категорийный,COSLYS,megapteka.ru,перекуп,1,1
hair care,категорийный,Chandi,apteka.ru,перекуп,1,1
hair care,категорийный,Chandi,goldapple.ru,маркетплейс,1,1
hair care,категорийный,Chandi,irecommend.ru,форум,1,1
hair care,категорийный,Clear,vc.ru,обзор,2,2
hair care,категорийный,Clear,health.mail.ru,экспертный ресурс,1,1
hair care,категорийный,Clear,ihc-russia.ru,экспертный ресурс,1,1
hair care,категорийный,Clear,lamoda.ru,обзор,1,1
hair care,категорийный,Clear,stolichki.ru,обзор,1,1
hair care,категорийный,Concept,goldapple.ru,маркетплейс,1,1
hair care,категорийный,Concept,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,Concept,ozon.ru,маркетплейс,1,1
hair care,категорийный,Concept,rivegauche.ru,маркетплейс,1,1
hair care,категорийный,Concept,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Crystal Chamomile & Green Tea,byrdie.com,обзор,1,1
hair care,категорийный,Crystal Chamomile & Green Tea,kp.ru,обзор,1,1
hair care,категорийный,Crystal Chamomile & Green Tea,lady.mail.ru,обзор,1,1
hair care,категорийный,Crystal Chamomile & Green Tea,megapteka.ru,перекуп,1,1
hair care,категорийный,Cutrin,kp.ru,обзор,1,1
hair care,категорийный,Cutrin,lady.mail.ru,обзор,1,1
hair care,категорийный,Cutrin,ozon.ru,маркетплейс,1,1
hair care,категорийный,DEXCLUSIVE Men,market.yandex.ru,маркетплейс,1,2
hair care,категорийный,DEXCLUSIVE Men,ozon.ru,маркетплейс,1,2
hair care,категорийный,DEXCLUSIVE Men,reviews.yandex.ru,маркетплейс,1,1
hair care,категорийный,Dercos (Vichy),ihc-russia.ru,экспертный ресурс,1,1
hair care,категорийный,Dercos (Vichy),lamoda.ru,обзор,1,1
hair care,категорийный,Dercos (Vichy),stolichki.ru,обзор,1,1
hair care,категорийный,Dove,lady.mail.ru,обзор,2,2
hair care,категорийный,Dove,market.yandex.ru,маркетплейс,2,2
hair care,категорийный,Dove,ozon.ru,маркетплейс,2,2
hair care,категорийный,Dove,randewoo.ru,перекуп,2,2
hair care,категорийный,Dove,5ka.ru,перекуп,1,1
hair care,категорийный,Dove,fitomarket.ru,перекуп,1,1
hair care,категорийный,Dove,kp.ru,обзор,1,1
hair care,категорийный,Dove,perekrestok.ru,перекуп,1,1
hair care,категорийный,Dove,proficosmetics.ru,перекуп,1,1
hair care,категорийный,Dove,rivegauche.ru,перекуп,1,1
hair care,категорийный,Dove,tekhnik.top,обзор,1,1
hair care,категорийный,Dove,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Dove,www.kp.ru,обзор,1,1
hair care,категорийный,EO Laboratorie,dzen.ru,обзор,1,1
hair care,категорийный,EO Laboratorie,lady.mail.ru,обзор,1,1
hair care,категорийный,EO Laboratorie,letu.ru,обзор,1,1
hair care,категорийный,EO Laboratorie,stolichki.ru,перекуп,1,1
hair care,категорийный,EO Laboratorie,tekhnik.top,обзор,1,1
hair care,категорийный,ESTEL,market.yandex.ru,маркетплейс,5,5
hair care,категорийный,ESTEL,ozon.ru,маркетплейс,5,5
hair care,категорийный,ESTEL,goldapple.ru,перекуп,2,2
hair care,категорийный,ESTEL,wildberries.ru,маркетплейс,2,2
hair care,категорийный,ESTEL,5ka.ru,перекуп,1,1
hair care,категорийный,ESTEL,beloris.ru,перекуп,1,1
hair care,категорийный,ESTEL,detmir.ru,маркетплейс,1,1
hair care,категорийный,ESTEL,eapteka.ru,перекуп,1,1
hair care,категорийный,ESTEL,goldapple.ru,маркетплейс,1,1
hair care,категорийный,ESTEL,irecommend.ru,форум,1,1
hair care,категорийный,ESTEL,kapous.ru,обзор,1,1
hair care,категорийный,ESTEL,kapous.ru,сайт бренда,1,1
hair care,категорийный,ESTEL,lady.mail.ru,обзор,1,1
hair care,категорийный,ESTEL,megamarket.ru,маркетплейс,1,1
hair care,категорийный,ESTEL,perekrestok.ru,перекуп,1,1
hair care,категорийный,ESTEL,proficosmetics.ru,перекуп,1,1
hair care,категорийный,ESTEL,randewoo.ru,перекуп,1,1
hair care,категорийный,ESTEL,rivegauche.ru,маркетплейс,1,1
hair care,категорийный,ESTEL,rivegauche.ru,перекуп,1,1
hair care,категорийный,Ecolatier,lady.mail.ru,обзор,1,1
hair care,категорийный,Ecolatier,lavka.yandex.ru,маркетплейс,1,1
hair care,категорийный,Ecolatier,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,Ecolatier,ozon.ru,маркетплейс,1,1
hair care,категорийный,Ecolatier,rivegauche.ru,обзор,1,1
hair care,категорийный,Ecolatier,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Estel,altaitmag.ru,перекуп,1,1
hair care,категорийный,Estel,bestproducts.mail.ru,обзор,1,1
hair care,категорийный,Estel,letu.ru,перекуп,1,1
hair care,категорийный,Estel,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,Estel,ozon.ru,маркетплейс,1,2
hair care,категорийный,Estel,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Garnier Fructis,apteka.ru,перекуп,1,1
hair care,категорийный,Garnier Fructis,goldapple.ru,перекуп,1,1
hair care,категорийный,Garnier Fructis,ozon.ru,маркетплейс,1,1
hair care,категорийный,Garnier Fructis,poryadok.ru,перекуп,1,1
hair care,категорийный,Garnier Fructis,wildberries.ru,маркетплейс,1,1
hair care,категорийный,HAIR LOGIC,altaitmag.ru,перекуп,1,1
hair care,категорийный,HAIR LOGIC,letu.ru,перекуп,1,1
hair care,категорийный,HAIR LOGIC,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,HAIR LOGIC,ozon.ru,маркетплейс,1,2
hair care,категорийный,HAIR LOGIC,wildberries.ru,маркетплейс,1,1
hair care,категорийный,HAPPY HAIR Professional,dzen.ru,обзор,1,1
hair care,категорийный,HAPPY HAIR Professional,kp.ru,обзор,1,1
hair care,категорийный,HAPPY HAIR Professional,lady.mail.ru,обзор,1,1
hair care,категорийный,HAPPY HAIR Professional,randewoo.ru,обзор,1,1
hair care,категорийный,Hair Company Professional,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,Hair Company Professional,ozon.ru,маркетплейс,1,1
hair care,категорийный,Hair Company Professional,rivegauche.ru,перекуп,1,1
hair care,категорийный,IRIDAPRO CLEAN,apteka.ru,перекуп,1,1
hair care,категорийный,IRIDAPRO CLEAN,goldapple.ru,перекуп,1,1
hair care,категорийный,IRIDAPRO CLEAN,ozon.ru,маркетплейс,1,1
hair care,категорийный,IRIDAPRO CLEAN,poryadok.ru,перекуп,1,1
hair care,категорийный,IRIDAPRO CLEAN,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Insight Professional,apteka.ru,перекуп,1,1
hair care,категорийный,Insight Professional,goldapple.ru,маркетплейс,1,1
hair care,категорийный,Insight Professional,irecommend.ru,форум,1,1
hair care,категорийный,JUST HAIR,goldapple.ru,перекуп,1,1
hair care,категорийный,JUST HAIR,letu.ru,перекуп,1,1
hair care,категорийный,JUST HAIR,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,JUST HAIR,ozon.ru,маркетплейс,1,1
hair care,категорийный,JUST HAIR,wildberries.ru,маркетплейс,1,1
hair care,категорийный,KANS,apteka.ru,перекуп,1,1
hair care,категорийный,KANS,goldapple.ru,маркетплейс,1,1
hair care,категорийный,KANS,irecommend.ru,форум,1,1
hair care,категорийный,KLEONA,kleona.com,сайт бренда,1,1
hair care,категорийный,KLEONA,letu.ru,перекуп,1,1
hair care,категорийный,KLEONA,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,KLEONA,uteka.ru,перекуп,1,1
hair care,категорийный,Kapous,market.yandex.ru,маркетплейс,2,3
hair care,категорийный,Kapous,ozon.ru,маркетплейс,2,4
hair care,категорийный,Kapous,altaitmag.ru,перекуп,1,1
hair care,категорийный,Kapous,letu.ru,перекуп,1,1
hair care,категорийный,Kapous,reviews.yandex.ru,маркетплейс,1,1
hair care,категорийный,Kapous,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Kerastase,dtf.ru,обзор,1,1
hair care,категорийный,Kerastase,kp.ru,обзор,1,1
hair care,категорийный,Kerastase,lady.mail.ru,обзор,1,1
hair care,категорийный,Kleona,apteka.ru,перекуп,1,1
hair care,категорийный,Kleona,goldapple.ru,маркетплейс,1,1
hair care,категорийный,Kleona,irecommend.ru,форум,1,1
hair care,категорийный,L'Occitane,lady.mail.ru,обзор,1,1
hair care,категорийный,L'Occitane,lavka.yandex.ru,маркетплейс,1,1
hair care,категорийный,L'Occitane,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,L'Occitane,ozon.ru,маркетплейс,1,1
hair care,категорийный,L'Occitane,rivegauche.ru,обзор,1,1
hair care,категорийный,L'Occitane,wildberries.ru,маркетплейс,1,1
hair care,категорийный,L'Occitane Homme,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,L'Occitane Homme,ozon.ru,маркетплейс,1,1
hair care,категорийный,L'Occitane Homme,parfum-lider.ru,перекуп,1,1
hair care,категорийный,L'Occitane Homme,rivegauche.ru,перекуп,1,1
hair care,категорийный,L'Occitane Homme,wildberries.ru,маркетплейс,1,1
hair care,категорийный,L'Oreal,lady.mail.ru,обзор,4,4
hair care,категорийный,L'Oreal,kp.ru,обзор,2,2
hair care,категорийный,L'Oreal,market.yandex.ru,маркетплейс,2,2
hair care,категорийный,L'Oreal,dtf.ru,обзор,1,1
hair care,категорийный,L'Oreal,dzen.ru,обзор,1,1
hair care,категорийный,L'Oreal,kapous.ru,обзор,1,1
hair care,категорийный,L'Oreal,media.halvacard.ru,обзор,1,1
hair care,категорийный,L'Oreal,ozon.ru,маркетплейс,1,1
hair care,категорийный,LADOR,kleona.com,сайт бренда,1,1
hair care,категорийный,LADOR,letu.ru,перекуп,1,1
hair care,категорийный,LADOR,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,LADOR,uteka.ru,перекуп,1,1
hair care,категорийный,LIBREDERM,lady.mail.ru,обзор,1,1
hair care,категорийный,LIBREDERM,media.halvacard.ru,обзор,1,1
hair care,категорийный,LIBREDERM,stolichki.ru,перекуп,1,1
hair care,категорийный,LIBREDERM,www.letu.ru,перекуп,1,1
hair care,категорийный,La Roche-Posay,lady.mail.ru,обзор,1,1
hair care,категорийный,La Roche-Posay,media.halvacard.ru,обзор,1,1
hair care,категорийный,La Roche-Posay,stolichki.ru,перекуп,1,1
hair care,категорийный,La Roche-Posay,www.letu.ru,перекуп,1,1
hair care,категорийный,Lador,altaitmag.ru,перекуп,1,1
hair care,категорийный,Lador,letu.ru,перекуп,1,1
hair care,категорийный,Lador,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,Lador,ozon.ru,маркетплейс,1,2
hair care,категорийный,Lador,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Lamonnet Premium,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,Lamonnet Premium,ozon.ru,маркетплейс,1,1
hair care,категорийный,Lamonnet Premium,parfum-lider.ru,перекуп,1,1
hair care,категорийный,Lamonnet Premium,rivegauche.ru,перекуп,1,1
hair care,категорийный,Lamonnet Premium,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Likato Professional,goldapple.ru,маркетплейс,1,1
hair care,категорийный,Likato Professional,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,Likato Professional,ozon.ru,маркетплейс,1,1
hair care,категорийный,Likato Professional,rivegauche.ru,маркетплейс,1,1
hair care,категорийный,Likato Professional,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Lovature/Лавейча,apteka-april.ru,перекуп,1,1
hair care,категорийный,Lovature/Лавейча,apteka.ru,перекуп,1,1
hair care,категорийный,Lovature/Лавейча,planetazdorovo.ru,перекуп,1,1
hair care,категорийный,L’Oréal,dtf.ru,обзор,1,1
hair care,категорийный,L’Oréal,kp.ru,обзор,1,1
hair care,категорийный,L’Oréal,lady.mail.ru,обзор,1,1
hair care,категорийный,L’Oréal,thepoizon.ru,обзор,1,1
hair care,категорийный,MASIL,hollyshop.ru,перекуп,1,1
hair care,категорийный,MASIL,ozon.ru,маркетплейс,1,1
hair care,категорийный,MASIL,parfum-lider.ru,перекуп,1,1
hair care,категорийный,Masil,aravia.ru,сайт бренда,1,1
hair care,категорийный,Masil,hollyshop.ru,перекуп,1,1
hair care,категорийный,Masil,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,Masil,stolichki.ru,обзор,1,1
hair care,категорийный,MinoMax,kp.ru,обзор,1,1
hair care,категорийный,MinoMax,lady.mail.ru,обзор,1,1
hair care,категорийный,MinoMax,vc.ru,обзор,1,1
hair care,категорийный,Mixit,bestproducts.mail.ru,обзор,1,1
hair care,категорийный,NATURE.med,apteka.ru,перекуп,1,1
hair care,категорийный,NATURE.med,goldapple.ru,маркетплейс,1,1
hair care,категорийный,NATURE.med,irecommend.ru,форум,1,1
hair care,категорийный,NIVEA,lady.mail.ru,обзор,1,1
hair care,категорийный,NIVEA,lavka.yandex.ru,маркетплейс,1,1
hair care,категорийный,NIVEA,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,NIVEA,ozon.ru,маркетплейс,1,1
hair care,категорийный,NIVEA,rivegauche.ru,обзор,1,1
hair care,категорийный,NIVEA,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Natura Siberica,bestproducts.mail.ru,обзор,1,1
hair care,категорийный,Nivea,ozon.ru,маркетплейс,1,1
hair care,категорийный,Nivea,poryadok.ru,перекуп,1,1
hair care,категорийный,Nivea,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Nollam Lab,letu.ru,перекуп,1,1
hair care,категорийный,Nollam Lab,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,Nollam Lab,rigla.ru,перекуп,1,1
hair care,категорийный,Nollam Lab,wildberries.ru,маркетплейс,1,1
hair care,категорийный,OIL PREMIUM,biofollica.ru,сайт бренда,1,1
hair care,категорийный,OIL PREMIUM,letu.ru,перекуп,1,1
hair care,категорийный,OIL PREMIUM,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,OIL PREMIUM,ozon.ru,маркетплейс,1,1
hair care,категорийный,OIL PREMIUM,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Ollin,apteka.ru,перекуп,1,1
hair care,категорийный,Ollin,bestproducts.mail.ru,обзор,1,1
hair care,категорийный,Ollin,goldapple.ru,перекуп,1,1
hair care,категорийный,Ollin,hair-market.ru,перекуп,1,1
hair care,категорийный,Ollin,kapous.ru,сайт бренда,1,1
hair care,категорийный,Ollin,kosmetika-proff.ru,обзор,1,1
hair care,категорийный,Ollin,kp.ru,обзор,1,1
hair care,категорийный,Ollin,lady.mail.ru,обзор,1,1
hair care,категорийный,Ollin,letu.ru,перекуп,1,1
hair care,категорийный,Ollin,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,Ollin,ozon.ru,маркетплейс,1,1
hair care,категорийный,Ollin,vc.ru,обзор,1,1
hair care,категорийный,Ollin,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Ollin Professional,goldapple.ru,маркетплейс,1,1
hair care,категорийный,Ollin Professional,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,Ollin Professional,ozon.ru,маркетплейс,1,1
hair care,категорийный,Ollin Professional,rivegauche.ru,маркетплейс,1,1
hair care,категорийный,Ollin Professional,wildberries.ru,маркетплейс,1,1
hair care,категорийный,PHYTORELAX,lady.mail.ru,обзор,1,1
hair care,категорийный,PHYTORELAX,media.halvacard.ru,обзор,1,1
hair care,категорийный,PHYTORELAX,stolichki.ru,перекуп,1,1
hair care,категорийный,PHYTORELAX,www.letu.ru,перекуп,1,1
hair care,категорийный,PUNCHLINE COSMETICS,market.yandex.ru,маркетплейс,1,2
hair care,категорийный,PUNCHLINE COSMETICS,ozon.ru,маркетплейс,1,2
hair care,категорийный,PUNCHLINE COSMETICS,reviews.yandex.ru,маркетплейс,1,1
hair care,категорийный,ROYAL SAMPLES,biofollica.ru,сайт бренда,1,1
hair care,категорийный,ROYAL SAMPLES,letu.ru,перекуп,1,1
hair care,категорийный,ROYAL SAMPLES,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,ROYAL SAMPLES,ozon.ru,маркетплейс,1,1
hair care,категорийный,ROYAL SAMPLES,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Repute,dzen.ru,обзор,1,1
hair care,категорийный,Repute,lady.mail.ru,обзор,1,1
hair care,категорийный,Repute,letu.ru,обзор,1,1
hair care,категорийный,Repute,stolichki.ru,перекуп,1,1
hair care,категорийный,Repute,tekhnik.top,обзор,1,1
hair care,категорийный,Retrieve,byrdie.com,обзор,1,1
hair care,категорийный,Retrieve,kp.ru,обзор,1,1
hair care,категорийный,Retrieve,lady.mail.ru,обзор,1,1
hair care,категорийный,Retrieve,megapteka.ru,перекуп,1,1
hair care,категорийный,Savonry,apteka.ru,перекуп,1,1
hair care,категорийный,Savonry,goldapple.ru,маркетплейс,1,1
hair care,категорийный,Savonry,irecommend.ru,форум,1,1
hair care,категорийный,Sebu-Balance,letu.ru,перекуп,1,1
hair care,категорийный,Sebu-Balance,market.yandex.ru,маркетплейс,1,1
hair care,категорийный,Sebu-Balance,rigla.ru,перекуп,1,1
hair care,категорийный,Sebu-Balance,wildberries.ru,маркетплейс,1,1
hair care,категорийный,Sim Sensitive,kp.ru,обзор,1,1
hair care,категорийный,Sim Sensitive,lady.mail.ru,обзор,1,1
